t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.019032669067382812e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.185745348441453323e-01,6.793820404296448068e+00,8.129677772521972656e-01,-2.116441726684570312e-03
1.019526028633117676e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.185745348441453323e-01,6.793820404296448068e+00,8.128876686096191406e-01,-2.196550369262695312e-03
1.020056915283203125e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.185745348441453323e-01,6.793820404296448068e+00,8.128876686096191406e-01,-2.196550369262695312e-03
1.020528078079223633e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.190965243239093946e-01,6.823728198437158277e+00,8.128938674926757812e-01,-2.190351486206054688e-03
1.021033215522766113e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.190965243239093946e-01,6.823728198437158277e+00,8.128938674926757812e-01,-2.190351486206054688e-03
1.021534061431884766e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.190965243239093946e-01,6.823728198437158277e+00,8.129054307937622070e-01,-2.178788185119628906e-03
1.022024154663085938e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.190965243239093946e-01,6.823728198437158277e+00,8.129054307937622070e-01,-2.178788185119628906e-03
1.022518992424011230e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.195141159077206527e-01,6.847654433749727154e+00,8.129032254219055176e-01,-2.180993556976318359e-03
1.023027729988098145e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.195141159077206527e-01,6.847654433749727154e+00,8.129032254219055176e-01,-2.180993556976318359e-03
1.023585128784179688e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.195141159077206527e-01,6.847654433749727154e+00,8.129073381423950195e-01,-2.176880836486816406e-03
1.024063944816589355e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.195141159077206527e-01,6.847654433749727154e+00,8.129073381423950195e-01,-2.176880836486816406e-03
1.024537563323974609e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.198481891747696509e-01,6.866795421999781546e+00,8.128812313079833984e-01,-2.202987670898437500e-03
